texto, intencao,
ok,000_agradecimento
amei 😙,000_agradecimento
quis dizer q a skay e a melhor tv,000_agradecimento
bom trabalho,000_agradecimento
valeu ,000_agradecimento
boa,000_agradecimento
obrigado,000_agradecimento
valeu,000_agradecimento
certo,000_agradecimento
vlw,000_agradecimento
okay 😀,000_agradecimento
ta bom,000_agradecimento
pode deixar😚,000_agradecimento
agradecida,000_agradecimento
agradecido,000_agradecimento
ja encontrei o que eu precisava,000_agradecimento
Valeu ajudou muito,000_agradecimento
obrigado pela ajuda.,000_agradecimento
alguem p auxiliar,000_ajuda
por qual motivo,000_ajuda
quero saber o motivo,000_ajuda
e como faco?,000_ajuda
como podemos fazer,000_ajuda
como q faco?,000_ajuda
oq eu faco,000_ajuda
quero saber pq,000_ajuda
reponde por favor ,000_ajuda
duvidas ,000_ajuda
e quero resolver,000_ajuda
como eu vou gazer,000_ajuda
gostariade saber pq?,000_ajuda
ja sou assinante,000_ajuda
nao dar certo ,000_ajuda
e normal?,000_ajuda
como assim?,000_ajuda
mas como posso fazer ,000_ajuda
quero uma solução quero que resolva,000_ajuda
ja liguei varias vezes,000_ajuda
preciso de uma coisa,000_ajuda
como devo fazer,000_ajuda
como fazer para,000_ajuda
ja sou cliente,000_ajuda
como fazer,000_ajuda
por favor,000_ajuda
como e que eu faco,000_ajuda
eu nao conseguir,000_ajuda
como pode resolver meu problema,000_ajuda
posso falar???,000_ajuda
quero reposta por favor,000_ajuda
pode ser com voce ?,000_ajuda
o que posso fazer?,000_ajuda
faco como?,000_ajuda
ve se vc consegue resolver,000_ajuda
por favor ,000_ajuda
problema na sky,000_ajuda
como faco para,000_ajuda
como faco p conseguir?,000_ajuda
com minha sky,000_ajuda
quero solucionar,000_ajuda
quero sabe  pq,000_ajuda
quem pode me ajudar,000_ajuda
querida demora muito,000_ajuda
tenho uma dúvida,000_ajuda
uma pergunta,000_ajuda
quero saber o porque,000_ajuda
oq eu faco?,000_ajuda
onde fica nao encontrei,000_ajuda
e como faco,000_ajuda
preciso que voce,000_ajuda
para minha sky,000_ajuda
nao consegui,000_ajuda
vc pode me ajudar,000_ajuda
preciso de vc agora,000_ajuda
como posso resolver,000_ajuda
e depois como faco pra ve,000_ajuda
ja liguei varias vezes,000_ajuda
e como posso fazer para solucionar ,000_ajuda
outros assuntos,000_ajuda
quero uma solucao obrigado,000_ajuda
minha sky nao ta dando certo,000_ajuda
estou tentando,000_ajuda
nao mim sinto satisfeito,000_ajuda
meu nome e @NomeProprio,000_apresentacao
aqui quem fala e,000_apresentacao
prazer meu nome e,000_apresentacao
meu nome e,000_apresentacao
eu chamo,000_apresentacao
tudo bem c vc,000_cumprimento
boa noite,000_cumprimento
tudo bem com voce,000_cumprimento
noite,000_cumprimento
oi,000_cumprimento
boa note,000_cumprimento
até mais,000_despedida
se cuida,000_despedida
abraço,000_despedida
chau,000_despedida
falou,000_despedida
até breve,000_despedida
até logo!,000_despedida
beijocas,000_despedida
estou indo,000_despedida
gostaria de sair hoje,000_despedida
bye,000_despedida
um beijo para voce,000_despedida
tá bom fica com deus,000_despedida
vou nessa,000_despedida
fui,000_despedida
vou embora,000_despedida
thau,000_despedida
tchau tchau,000_despedida
tenha um bom dia,000_despedida
beijos,000_despedida
vou dormir,000_despedida
vou deitar,000_despedida
bye bye,000_despedida
tchau,000_despedida
fuiii💃,000_despedida
Você é demais,000_elogio
Incrível!,000_elogio
Parabéns!,000_elogio
voce e bonita,000_elogio
você é linda,000_elogio
gostei de voce tbm,000_elogio
K sua linda,000_elogio
kkkkk amei isso aqui,000_elogio
vc merece um aumento,000_elogio
ajudou muito,000_elogio
muito prazer,000_elogio
que robô esperto,000_elogio
voce e um anjo,000_elogio
gostei de voce,000_elogio
você é muito inteligente,000_elogio
Nossa adoreI,000_elogio
Muito bom!,000_elogio
k você é linda,000_elogio
otima essa assistencia de vcs,000_elogio
voce e inteligente k,000_elogio
você é linda demais,000_elogio
tenho orgulho de voce,000_elogio
voce e legal,000_elogio
vc sofisticada😊,000_elogio
super bom ,000_elogio
voce e tao bonita gata,000_elogio
voce e gata,000_elogio
👏,000_feedback
😋,000_feedback
😍,000_feedback
👍,000_feedback
👎,000_feedback
Gostei 👍,000_feedback
😘,000_feedback
😉,000_feedback
❤️,000_feedback
Não gostei 👎,000_feedback
˜,000_fora_de_escopo
!,000_fora_de_escopo
@,000_fora_de_escopo
#,000_fora_de_escopo
$,000_fora_de_escopo
%,000_fora_de_escopo
ˆ,000_fora_de_escopo
&,000_fora_de_escopo
*,000_fora_de_escopo
(),000_fora_de_escopo
-,000_fora_de_escopo
+,000_fora_de_escopo
..,000_fora_de_escopo
=,000_fora_de_escopo
{},000_fora_de_escopo
[],000_fora_de_escopo
\|,000_fora_de_escopo
:,000_fora_de_escopo
;,000_fora_de_escopo
<>,000_fora_de_escopo
?,000_fora_de_escopo
nao fala comigo,000_nao_fale_comigo
nao fale comigo,000_nao_fale_comigo
nao converse comigo,000_nao_fale_comigo
to de mal de voce,000_nao_fale_comigo
nem ve fião,000_nao_fale_comigo
não me chame,000_nao_fale_comigo
ja vi que nao posso contar com vc,000_nao_fale_comigo
não quero papo,000_nao_fale_comigo
não quero conversa,000_nao_fale_comigo
nem vem fião,000_nao_fale_comigo
nem vem,000_nao_fale_comigo
ja vi que nao posso contar com voce,000_nao_fale_comigo
não venha com conversinha,000_nao_fale_comigo
voce nao fica triste nao tem coracao lembra😂,000_ofender
nojo de voce viu,000_ofender
quero bater punheta,000_ofender
k posso tranzar com vc,000_ofender
cusao,000_ofender
mula,000_ofender
vai tomate cru,000_ofender
palhaca,000_ofender
q merda,000_ofender
vcs estao uma porcaria,000_ofender
seu troxa,000_ofender
p**** c******,000_ofender
f***-se,000_ofender
voce eh burra,000_ofender
pau no cu,000_ofender
"Vai toma no cu, seu fdp",000_ofender
vai tomar no cu,000_ofender
lixooooo,000_ofender
quero gozar na sua boca,000_ofender
meu anus,000_ofender
você é muito burro,000_ofender
idiota,000_ofender
voce e ruim,000_ofender
voce e maluca,000_ofender
